SMILES,type,temp,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20
CCCCCC(CC(F)C(F)(F)F)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.04100633496967,19.0,1.66e-06,0.99,53.0,3.78206305379689
CCCCCC(OS(=O)(=O)[O-])C(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,2.92118081690115,20.0,1.6e-06,1.04,52.0,4.67278939463035
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.09151498112135,39.5,1.95e-06,0.52,32.0,2.5
CCCCCCCCC(CCCCCC)COCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,4.06550154875643,,,,,
CCCCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,2.86966623150499,,,,,
CCCCCCCCCCCCCCCC(=O)NC(CC(C)C)C(=O)[O-].[Na+],anionic,25.0,2.82390874094432,,,,,
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.60205999132796,,,,,
CCCCCCCCCCCCS(=O)(=O)[O-].C[N+](C)(C)C,anionic,25.0,2.25963731050576,,,,,
CCCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],anionic,25.0,2.4089353929735,,,,,
CCCCCCCCCOCCS(=O)(=O)[O-].[Na+],anionic,25.0,2.79860287567955,,,,,
CCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25.0,0.769551078621726,,,,,
O=C([O-])C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)F.[Na+],anionic,25.0,1.52287874528034,,,,,
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25.0,2.30980391997149,,,,,
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],anionic,25.0,1.53760200210104,,,,,
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25.0,1.48148606012211,,,,,
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],anionic,25.0,3.54211810326601,38.2,,,33.77,
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],anionic,25.0,3.99139982823808,38.1,,,33.87,
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],anionic,25.0,4.44369749923271,38.2,,,33.77,
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,4.88605664769316,38.3,,,33.67,
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,4.27572413039921,38.1,,,33.87,
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCC(=O)[O-].[Na+],anionic,25.0,3.40340290437354,39.9,,,32.07,
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.76955107862173,40.4,,,31.57,
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.82973828460504,38.7,,,33.27,
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,4.39794000867204,,,,,
CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,4.15490195998574,,,,,
CCCCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.95860731484178,,,,,
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,4.0,,,,,
CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,4.0,,,,,
CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.85387196432176,,,,,
CCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.65757731917779,,,,,
CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.72124639904717,,,,,
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,2.60205999132796,,,,,
CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],anionic,25.0,3.13667713987954,,,,,
CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],anionic,25.0,2.05060999335509,,,,,
CCCCCCCCCCCCS(=O)(=O)[O-].[NH4+],anionic,25.0,2.05060999335509,,,,,
CCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25.0,1.65757731917779,,,,,
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,3.04095860767891,,,,,
CCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25.0,1.18045606445813,,,,,
CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,2.85387196432176,,,,,
CCCCCOC(=O)CC(C(=O)OCCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,1.27572413039921,,,,,
CCCCOC(=O)CC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,0.698970004336019,,,,,
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25.0,2.30980391997149,,,,,
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25.0,1.48148606012211,,,,,
CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)([O-])[O-])cc1.[Na+].[Na+],anionic,25.0,1.74496883665445,,,,,
CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)([O-])[O-])cc1.[Na+].[Na+],anionic,25.0,1.79588001734408,,,,,
CCCC(CC(F)C(F)(F)F)OS(=O)(=O)[O-].[Na+],anionic,25.0,1.60205999132796,19.0,2.56e-06,0.66,53.0,2.73102645744249
CCCCC(=O)OCC(COC(=O)CCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,1.23897474828863,,,,,
CCCCC(CC)CC(=O)OCC(COC(=O)CC(CC)CCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,0.662940273679476,,,,,
CCCCCC(=O)OCC(COC(=O)CCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,1.81701503299642,,,,,
CCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.04701393480294,,,,,
CCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,1.08097423541264,,6.7e-07,2.48,,
CCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.2500319164906,,,,,
CCCCCC(CS(=O)(=O)[O-])OCO.[Na+],anionic,25.0,0.733063088840827,,,,,
CCCCCC(F)(OS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,3.79588001734408,,,,,
CCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,0.744968836654449,,8.47e-07,1.96,,
CCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,1.96697855531709,,,,,
CCCCCCC(CCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,1.44201185177509,,,,,
CCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.58502665202918,,,,,
CCCCCCC(CCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,1.71399287792053,,4.39e-07,3.78,,
CCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.4000078224159,,,,,
CCCCCCCC(CCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,1.5480601306349,,,,,
CCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.29998893767789,,,,,
CCCCCCCC(CCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.01300446027562,,5.55e-07,2.99,,
CCCCCCCC(CCCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.59998036493484,,,,,
CCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[Na+],anionic,25.0,2.55299710153384,,,,,
CCCCCCCC(CCCCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,2.14399654600278,,,,,
CCCCCCCC(CS(=O)(=O)[O-])OCO.[Na+],anionic,25.0,1.14399654600278,,,,,
CCCCCCCC(F)(OS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,4.15502606185311,,,,,
CCCCCCCC(O)NC(O)(OS(=O)(=O)[O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.[Na+],anionic,25.0,1.06198090252379,,,,,
CCCCCCCC(OS(=O)(=O)[O-])C(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,3.30102999566398,,,,,
CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,3.13100309751286,,,,,
CCCCCCCCC(=O)[O-].[K+],anionic,25.0,0.408935392973501,,,,,
CCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,1.32799455497705,,,,,
CCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.30303235925598,,,,,
CCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],anionic,25.0,1.53895190832934,,6.7e-07,2.48,,
CCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.50003813440381,,,,,
CCCCCCCCC(CCC)S(=O)(=O)[O-].[Na+],anionic,25.0,1.63507396621002,,,,,
CCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.72101788313456,,,,,
CCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.56992494444806,,,,,
CCCCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.70005709997723,,,,,
CCCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[Na+],anionic,25.0,2.39599006758777,,,,,
CCCCCCCCC(CCCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.79997073344623,,,,,
CCCCCCCCC(CCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.3099812192113,,,,,
CCCCCCCCC(CCCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.58502665202918,,,,,
CCCCCCCCC(O)OCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,1.31202537996544,,,,,
CCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.72101788313456,,,,,
CCCCCCCCCC(CC)S(=O)(=O)[O-].[Na+],anionic,25.0,1.73002032335468,,,,,
CCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.60607399341416,,,,,
CCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.17101804599208,,,,,
CCCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.77989191195995,,,,,
CCCCCCCCCC(CCCCC)COS(=O)(=O)[O-].[Na+],anionic,25.0,2.52302353424047,,,,,
CCCCCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.89997426989214,,,,,
CCCCCCCCCC(CCCCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.48095996135166,,4.34e-07,3.83,,
CCCCCCCCCC(CCS(=O)(=O)[O-])OC(C)C.[Na+],anionic,25.0,2.45804652554176,,,,,
CCCCCCCCCC(CCS(=O)(=O)[O-])OC(CC)CCCCC.[Na+],anionic,25.0,3.50100063641985,,,,,
CCCCCCCCCC(CCS(=O)(=O)[O-])OC.[Na+],anionic,25.0,2.11798803837334,,,,,
CCCCCCCCCC(CCS(=O)(=O)[O-])OCC.[Na+],anionic,25.0,2.30102999566398,,,,,
CCCCCCCCCC(CCS(=O)(=O)[O-])OCCCC.[Na+],anionic,25.0,2.81701503299642,,,,,
CCCCCCCCCC(CCS(=O)(=O)[O-])OCCCCCC.[Na+],anionic,25.0,3.18502031623924,,,,,
CCCCCCCCCC(CCS(=O)(=O)[O-])OCCCCCCCC.[Na+],anionic,25.0,3.92190584959359,,,,,
CCCCCCCCCC(CCS(=O)(=O)[O-])Oc1ccccc1.[Na+],anionic,25.0,2.70796556400526,,,,,
CCCCCCCCCC(CS(=O)(=O)[O-])OCO.[Na+],anionic,25.0,1.62105730138656,,,,,
CCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],anionic,25.0,1.60607399341416,,,,,
CCCCCCCCCC(OCC)(OCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,1.9100948885606,,,,,
CCCCCCCCCC(OCC)S(=O)(=O)[O-].[Na+],anionic,25.0,1.78701381526333,,,,,
CCCCCCCCCCC(=O)[O-].[K+],anionic,25.0,1.00877392430751,,,,,
CCCCCCCCCCC(C)S(=O)(=O)[O-].[Na+],anionic,25.0,1.82710530224782,,,,,
CCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.69207629638812,,,,,
CCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.28802414564824,,4.14e-07,4.01,,
CCCCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.89997426989214,,,,,
CCCCCCCCCCC(CCCC)COS(=O)(=O)[O-].[Na+],anionic,25.0,2.63808338133136,,,,,
CCCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.17698247655395,,,,,
CCCCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,3.04000516167158,,,,,
CCCCCCCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.37202001017002,,5e-07,3.32,,
CCCCCCCCCCC(CCS(=O)(=O)[O-])OC(C)=O.[Na+],anionic,25.0,2.58302682739696,,,,,
CCCCCCCCCCC(CO)S(=O)(=O)[O-].[Na+],anionic,25.0,1.78701381526333,,,,,
CCCCCCCCCCC(O)OCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,1.88306035344924,,,,,
CCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.81701503299642,,,,,
CCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,3.20802879897923,,,,,
CCCCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,3.0,,,,,
CCCCCCCCCCCC(CCC)COS(=O)(=O)[O-].[Na+],anionic,25.0,2.69897000433602,,,,,
CCCCCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,3.15002808767115,,,,,
CCCCCCCCCCCC(CCS(=O)(=O)[O-])COCCO.[Na+],anionic,25.0,2.19900813873983,,,,,
CCCCCCCCCCCC(CCS(=O)(=O)[O-])COCCOCCO.[Na+],anionic,25.0,3.44502654166676,30.5,1.31e-06,1.27,41.5,4.88241526003233
CCCCCCCCCCCC(CCS(=O)(=O)[O-])N(C)C.[Na+],anionic,25.0,4.78701381526333,30.4,1.95e-06,0.85,41.6,5.75713548908258
CCCCCCCCCCCC(CCS(=O)(=O)[O-])N1CCCCC1.[Na+],anionic,25.0,3.3099812192113,,,,,
CCCCCCCCCCCC(CCS(=O)(=O)[O-])N1CCOCC1.[Na+],anionic,25.0,3.10601643278815,,,,,
CCCCCCCCCCCC(CCS(=O)(=O)[O-])NCCC.[Na+],anionic,25.0,2.96417017474717,30.7,2.37e-06,0.7,41.3,3.75128542170143
CCCCCCCCCCCC(CCS(=O)(=O)[O-])NCCCC.[Na+],anionic,25.0,3.19997064075587,33.0,2.16e-06,0.77,39.0,3.97035404299788
CCCCCCCCCCCC(CCS(=O)(=O)[O-])Oc1cc(Cl)c(Cl)cc1Cl.[Na+],anionic,25.0,3.64092377394074,29.1,2.13e-06,0.78,42.9,4.5825161784008
CCCCCCCCCCCC(CCS(=O)(=O)[O-])Oc1ccccc1.[Na+],anionic,25.0,2.92190584959359,29.0,1.75e-06,0.95,43.0,4.07296291495849
CCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],anionic,25.0,1.54106013810967,,,,,
CCCCCCCCCCCC(O)NC(O)(OS(=O)(=O)[O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.[Na+],anionic,25.0,2.77006231409207,,,,,
CCCCCCCCCCCC(OCC)(OCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.55299710153384,,,,,
CCCCCCCCCCCC(OCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.39599006758777,,,,,
CCCCCCCCCCCC(OCCOCC)(OCCOCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.77006231409207,,,,,
CCCCCCCCCCCCC(=O)[O-].[K+],anionic,25.0,1.59345981956604,,,,,
CCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.48095996135166,,5.55e-07,2.99,,
CCCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,3.38997897533586,,,,,
CCCCCCCCCCCCC(CC)COS(=O)(=O)[O-].[Na+],anionic,25.0,2.82390874094432,,,,,
CCCCCCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.65797231191253,,,,,
CCCCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.62893213772826,,,,,
CCCCCCCCCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.02701077314465,,,,,
CCCCCCCCCCCCC(CO)S(=O)(=O)[O-].[Na+],anionic,25.0,2.43203309317685,,,,,
CCCCCCCCCCCCC(O)OCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.52302353424047,,,,,
CCCCCCCCCCCCC(OC(C)=O)S(=O)(=O)[O-].[Na+],anionic,25.0,3.39804859586648,,,,,
CCCCCCCCCCCCC=CS(=O)(=O)[O-].[Na+],anionic,25.0,2.56895805466411,,,,,
CCCCCCCCCCCCCC(C)COS(=O)(=O)[O-].[Na+],anionic,25.0,2.95900230757651,,,,,
CCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.76700388960785,,5.25e-07,3.16,,
CCCCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,3.57691804170277,,,,,
CCCCCCCCCCCCCC(CCS(=O)(=O)[O-])OCCCC.[Na+],anionic,25.0,4.45804652554176,,,,,
CCCCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],anionic,25.0,2.83893161452883,,,,,
CCCCCCCCCCCCCC(OCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.85698519974591,,,,,
CCCCCCCCCCCCCC(OCCOCC)(OCCOCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.16001944232166,,,,,
CCCCCCCCCCCCCCC(=O)[O-].[K+],anionic,25.0,2.18045606445813,,,,,
CCCCCCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.14302956651751,,4.54e-07,3.66,,
CCCCCCCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.0970186002025,,,,,
CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,4.10001543745061,,,,,
CCCCCCCCCCCCCCC(OC(=O)CC)S(=O)(=O)[O-].[Na+],anionic,25.0,3.96417017474717,,,,,
CCCCCCCCCCCCCCC(OC(=O)CCC)S(=O)(=O)[O-].[Na+],anionic,25.0,4.0,,,,,
CCCCCCCCCCCCCCC(OC(C)=O)S(=O)(=O)[O-].[Na+],anionic,25.0,3.50905879464321,,,,,
CCCCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.62893213772826,,4.74e-07,3.5,,
CCCCCCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],anionic,25.0,3.41998788747058,,,,,
CCCCCCCCCCCCCCCC(O)NC(O)(OS(=O)(=O)[O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.[Na+],anionic,25.0,3.92081875395238,,,,,
CCCCCCCCCCCCCCCCC(=O)[O-].[K+],anionic,35.0,2.74472749489669,,,,,
CCCCCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.34698054890039,,4.52e-07,3.67,,
CCCCCCCCCCCCCCCCC(OC(=O)C(C)C)S(=O)(=O)[O-].[Na+],anionic,25.0,2.56607023439154,,,,,
CCCCCCCCCCCCCCCCC(OC(=O)CC)S(=O)(=O)[O-].[Na+],anionic,25.0,4.89894064509188,,,,,
CCCCCCCCCCCCCCCCC(OC(=O)CCC)S(=O)(=O)[O-].[Na+],anionic,25.0,4.56895805466411,,,,,
CCCCCCCCCCCCCCCCC(OC(C)=O)S(=O)(=O)[O-].[Na+],anionic,25.0,4.10601643278815,,,,,
CCCCCCCCCCCCCCCCC=CS(=O)(=O)[O-].[Na+],anionic,25.0,3.74496883665445,,,,,
CCCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,3.63507396621002,,,,,
CCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,3.13100309751286,,,,,
CCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.92118081690115,,,,,
CCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,3.1390035632428,,,,,
CCCCCCCCCCCCCCOC(=O)CCS(=O)(=O)[O-].[Na+],anionic,25.0,3.04599883231843,,,,,
CCCCCCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25.0,1.98589967848038,,,,,
CCCCCCCCCCCCCCc1ccc(C[C@H](Nc2ccc(S(=O)(=O)[O-])cc2)C(=O)O)cc1.[Na+],anionic,25.0,4.79588001734408,,,,,
CCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.36703683183274,,,,,
CCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,2.42101715729721,,,,,
CCCCCCCCCCCCC[C@H](Nc1ccc(S(=O)(=O)[O-])cc1)C(=O)O.[Na+],anionic,25.0,3.38700434396765,,,,,
CCCCCCCCCCCCc1ccc(C[C@H](Nc2ccc(S(=O)(=O)[O-])cc2)C(=O)O)cc1.[Na+],anionic,25.0,4.20100426555612,,,,,
CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.92118081690115,,,,,
CCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,1.7830427926389,,,,,
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,1.48095996135166,,5.34e-07,3.11,,
CCCCCCCCCCc1ccc(C[C@H](Nc2ccc(S(=O)(=O)[O-])cc2)C(=O)O)cc1.[Na+],anionic,25.0,3.48095996135166,,,,,
CCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.50905879464321,,,,,
CCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,1.22199353857649,,,,,
CCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,0.853871964321762,,,,,
CCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,0.795880017344075,,,,,
CCCCCCCCc1ccc(C[C@H](Nc2ccc(S(=O)(=O)[O-])cc2)C(=O)O)cc1.[Na+],anionic,25.0,2.85387196432176,,,,,
CCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,1.90692869362394,,,,,
CCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,0.657972311912528,,,,,
CCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,1.58203035778526,,,,,
CCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,0.376957565753618,,,,,
CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.39794000867204,,5e-07,3.32,,
CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.95860731484178,,,,,
CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,1.95900230757651,,,,,
CCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,1.39804859586648,,,,,
CCCCCCCCCCCCCCCC(=O)NC(C(=O)[O-])C(C)C.[Na+],anionic,25.0,2.72124639904717,,,,,
CCCCCCCCCCCC[NH2+]CCO.[Cl-],cationic,25.0,1.34678748622466,40.8,1.93e-06,0.86,31.0,2.24
CCCCCCCCCCCC[n+]1ccccc1.[Br-],cationic,25.0,1.94309514866353,38.9,3.3e-06,0.5,32.9,2.46
CCCCCCCCCCCC[n+]1ccccc1.[Cl-],cationic,25.0,1.76955107862173,43.7,2.7e-06,0.62,28.3,2.07
CCCCCCCCCC[n+]1ccccc1.[Br-],cationic,25.0,1.35654732351381,40.1,2.01e-06,0.826138839389974,31.7,1.96
CCCCCCCCCCCC[N+](C)(C)C.[Cl-],cationic,25.0,1.69897000433602,40.5,4.39e-06,0.38,31.5,2.17
CCCCCCCCCCCC[N+](C)(C)CC(=O)Nc1ccccc1.[Cl-],cationic,25.0,2.95467702121334,33.3,2.09e-06,0.79,38.7,3.73
CCCCCCCCCCCC[N+](C)(C)CC(=O)Nc1nccs1.[Cl-],cationic,25.0,2.61978875828839,35.1,1.47e-06,1.13,36.87,3.63
CCCCCCCCCCCC[N+](C)(C)CC(=O)Nc1ncncc1[N].[Cl-],cationic,25.0,2.21609642072727,39.6,1.67e-06,0.99,32.4,2.87
CCCCCCCCCCCCCCCC[N+](C)(C)CCN=Cc1ccc(OC)c(OC)c1.[Br-],cationic,25.0,3.63827216398241,36.7,8.3e-07,0.22,35.15,5.08
CCCCCCCCCCCC[N+](C)(C)CCN=Cc1ccc(OC)c(OC)c1.[Br-],cationic,25.0,3.32975414692588,32.8,9.9e-07,1.68,38.97,4.93
